,Identifying num,url,claimDate,claimYear,claimant,claimant_canonical_name,Local/State/National,Current Role,Aspiring Role,State,City,languageCode,publisher.name,publisher.site,text,title,reviewDate,claimant_party,textualRating,ratingsimp,T/F RQ1,is_politician_strict,Fear,Self/Personal Record,Opponent/Opponent's Record,Legislation,National and State Macroeconomic Issues,Economic Well-Being and Domestic Commerce,Labor and Employment,Foreign Trade,Taxes,"Civil Rights, Minority Issues, and Civil Liberties",Immigration and Refugee Issues,LGBTQ,Race,Religion,Women,Health (non-care),Social Welfare,Education,Abortion,Healthcare,Government Operations,Defense/Military,International_affairs and Foreign Aid,Voting/Elections,Agriculture,Environment,Energy,Transportation,Community Development and Housing,Technology Science Space,Media and Communications,Law and Crime and Policing,Terrorism,Guns,History,Record/Candidate Biography/ Campaigns and Personal Behavior
,1731,http://www.politifact.com/factchecks/2010/mar/15/mitt-romney/obama-remarks-never-true-apology/,2010-03-02,2010,Mitt Romney,Mitt Romney,,,,,,en,PolitiFact,politifact.com,Several times; Obama 'has apologized for what he deems to be American arrogance; dismissiveness; and derision; for dictating solutions; for acting unilaterally ... .',Obama's remarks never a true 'apology',2016-08-15 20:07:16,Republican,FALSE,2 False,False(ish),TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
,2151,http://www.politifact.com/factchecks/2010/may/05/mike-pence/republican-says-obama-cut-budget-illegal-immigrati/,2010-05-02,2010,Mike Pence,Mike Pence,,,,,,en,PolitiFact,politifact.com,This administration and this Congress have been systematically cutting funding to border security since the Democrats took control.',Republican Mike Pence says Obama cut budget for illegal immigration effort,2016-07-15 13:57:36,Republican,FALSE,2 False,False(ish),TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,1907,http://www.politifact.com/factchecks/2011/jan/21/mike-pence/mike-pence-says-dodd-frank-financial-regulation-bi/,2010-07-15,2010,Mike Pence,Mike Pence,,,,,,en,PolitiFact,politifact.com,The financial regulatory bill [Dodd-Frank] 'will kill jobs.',Mike Pence says Dodd-Frank financial regulation bill 'will kill jobs',2016-07-15 13:49:10,Republican,Mostly False,3 Mostly False,False(ish),TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,1732,http://www.politifact.com/factchecks/2010/jul/22/mike-pence/mike-pence-says-democrats-want-all-bush-tax-cuts-e/,2010-07-20,2010,Mike Pence,Mike Pence,,,,,,en,PolitiFact,politifact.com,Should Democrats get their way; every income tax bracket will increase on Jan. 1; 2011. Every single one.',Mike Pence says Democrats want all of Bush tax cuts to expire,2016-07-15 13:55:30,Republican,FALSE,2 False,False(ish),TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,159,http://www.politifact.com/factchecks/2010/nov/09/mike-pence/mike-pence-says-raising-taxes-lowers-tax-revenues/,2010-11-07,2010,Mike Pence,Mike Pence,,,,,,en,PolitiFact,politifact.com,Anybody who is familiar with the historical data from the IRS knows that raising income tax rates will likely actually reduce federal revenues.',Mike Pence says raising taxes lowers tax revenues,2016-07-15 13:52:33,Republican,FALSE,2 False,False(ish),TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,89,http://www.politifact.com/factchecks/2011/apr/13/mike-pence/mike-pence-said-republican-medicare-proposal-will-/,2011-04-10,2011,Mike Pence,Mike Pence,,,,,,en,PolitiFact,politifact.com,A Republican proposal changes Medicare for those under age 55 so that they will 'participate in the same kind of health plan that members of Congress do.',Mike Pence said Republican Medicare proposal gives seniors the same health care as Congress,2016-07-15 13:43:36,Republican,Mostly False,3 Mostly False,False(ish),TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,2074,http://www.politifact.com/factchecks/2011/jul/13/joseph-trillo/ri-rep-trillo-says-30000-people-have-died-because-/,2011-06-29,2011,Joseph Trillo,Joe Trillo,,,,,,en,PolitiFact,politifact.com,There are 30;000 people that have been killed with seat belts.',RI Rep. Trillo says 30;000 people have died because they used seat belts,2016-05-24 13:09:03,Republican,Pants on Fire,1 Pants On Fire,False(ish),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,2005,http://www.politifact.com/factchecks/2011/jun/21/newt-gingrich/numbers-back-gingrich-job-growth-claim/,2011-06-30,2011,Newt Gingrich,Newt Gingrich,,,,,,en,PolitiFact,politifact.com,The right-to-work states are creating a lot more jobs today than the heavily unionized states.',Numbers back up Gingrich job growth claim,2016-07-15 16:38:38,Republican,TRUE,6 True,True)ish,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2331,http://www.politifact.com/factchecks/2011/aug/29/newt-gingrich/gingrich-says-defense-spending-historic-low/,2011-07-20,2011,Newt Gingrich,Newt Gingrich,,,,,,en,PolitiFact,politifact.com,We spend less on defense today as % of GDP than at any time since Pearl Harbor.',Gingrich Says Defense Spending at Historic Low,2016-07-15 16:36:55,Republican,Pants on Fire,1 Pants On Fire,False(ish),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
,2024,http://www.politifact.com/factchecks/2011/aug/26/doreen-costa/rep-costa-says-drug-testing-welfare-recipients-wil/,2011-08-10,2011,Doreen Costa,Doreen Costa,,,,,,en,PolitiFact,politifact.com,The studies have shown us that [drug testing for welfare recipients] will be saving us money.',Rep. Costa says drug testing for welfare recipients will save money for Rhode Island,2016-06-04 18:44:37,Republican,FALSE,2 False,False(ish),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,1502,http://www.politifact.com/factchecks/2011/sep/29/chris-christie/chris-christie-says-barack-obama-failed-stand-prop/,2011-09-27,2011,Chris Christie,Chris Christie,State,Governor,,NJ,,en,PolitiFact,politifact.com,Says President Barack Obama failed 'to stand up for the bipartisan debt solutions of the Simpson-Bowles Commission.',Chris Christie says Barack Obama failed to support solutions of deficit reduction commission,2016-07-15 15:51:10,Republican,Mostly False,3 Mostly False,False(ish),TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
,420,http://www.politifact.com/factchecks/2011/oct/28/newt-gingrich/gingrich-claims-health-care-reform-includes-death-/,2011-10-11,2011,Newt Gingrich,Newt Gingrich,,,,,,en,PolitiFact,politifact.com,Former Alaska Governor Sarah Palin was right that President Barack Obama’s health care bill created what 'would; in effect; be death panels.',Gingrich claims health care reform includes 'Death Panels',2016-07-15 17:03:36,Republican,Pants on Fire,1 Pants On Fire,False(ish),TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
,1654,http://www.politifact.com/factchecks/2011/oct/23/chris-christie/chris-christie-slams-health-care-reform-government/,2011-10-19,2011,Chris Christie,Chris Christie,State,Governor,,NJ,,en,PolitiFact,politifact.com,Says the national heath care reform is 'a government takeover of health care.',Chris Christie slams health care reform as 'a government takeover of health care',2016-07-15 15:49:53,Republican,Pants on Fire,1 Pants On Fire,False(ish),TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,1378,http://www.politifact.com/factchecks/2011/oct/21/marco-rubio/sen-marco-rubio-said-his-parents-came-america-foll/,2011-10-21,2011,Marco Rubio,Marco Rubio,,,,,,en,PolitiFact,politifact.com,Says his parents 'came to America following Fidel Castro's takeover' of Cuba.,Sen. Marco Rubio said his parents 'came to America following Fidel Castro's takeover' of Cuba,2016-06-23 18:48:45,Republican,FALSE,2 False,False(ish),TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
,1190,http://www.politifact.com/factchecks/2011/dec/04/chris-christie/chris-christie-claims-barack-obama-did-nothing-t/,2011-11-09,2011,Chris Christie,Chris Christie,State,Governor,,NJ,,en,PolitiFact,politifact.com,Says Barack Obama had 'huge majorities' in Congress during his first two years in office and 'did nothing with them to create jobs in America.',Chris Christie claims Barack Obama 'did nothing' to create jobs during his first two years,2016-07-15 15:46:44,Republican,Pants on Fire,1 Pants On Fire,False(ish),TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
,287,http://www.politifact.com/factchecks/2011/nov/21/newt-gingrich/newt-gingrich-says-dodd-frank-destroying-community/,2011-11-11,2011,Newt Gingrich,Newt Gingrich,,,,,,en,PolitiFact,politifact.com,Community banks … are being destroyed by Dodd-Frank.',Newt Gingrich says Dodd-Frank is destroying community banks,2016-07-15 16:33:17,Republican,FALSE,2 False,False(ish),TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
,987,http://www.politifact.com/factchecks/2011/dec/01/newt-gingrich/Gingrich-says-use-food-stamps-Hawaii/,2011-11-30,2011,Newt Gingrich,Newt Gingrich,,,,,,en,PolitiFact,politifact.com,People can use food stamps 'for anything;' including 'to go to Hawaii;' and even millionaires can qualify.,Newt Gingrich says you can use food stamps to get to Hawaii,2016-07-15 16:31:40,Republican,Pants on Fire,1 Pants On Fire,False(ish),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,1003,http://www.politifact.com/factchecks/2011/dec/06/newt-gingrich/newt-gingrich-says-barack-obama-has-killed-jobs-en/,2011-12-05,2011,Newt Gingrich,Newt Gingrich,,,,,,en,PolitiFact,politifact.com,President Barack Obama 'has now spent three years proving that he kills jobs in energy; he kills jobs in manufacturing.',Newt Gingrich says Barack Obama has killed jobs in energy; manufacturing,2016-07-15 16:30:26,Republican,Mostly False,3 Mostly False,False(ish),TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
,1971,http://www.politifact.com/factchecks/2011/dec/06/newt-gingrich/newt-gingrich-says-unemployment-only-dropped-becau/,2011-12-05,2011,Newt Gingrich,Newt Gingrich,,,,,,en,PolitiFact,politifact.com,The only reason the unemployment rate is going down is because … twice as many people dropped out of the employment pool as the number of jobs were created.',Newt Gingrich says unemployment only dropped because of people who stopped looking for work,2016-07-15 16:29:26,Republican,Mostly False,3 Mostly False,False(ish),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,1644,http://www.politifact.com/factchecks/2011/dec/07/newt-gingrich/newt-gingrich-blasts-1990s-ethics-investigation-hi/,2011-12-06,2011,Newt Gingrich,Newt Gingrich,,,,,,en,PolitiFact,politifact.com,Says the congressional ethics investigation against him was conducted by 'a very partisan political committee' in a way that 'related more to the politics of the Democratic Party than to ethics.',Newt Gingrich blasts 1990s ethics investigation of him; calling it partisan,2016-07-15 16:27:09,Republican,Pants on Fire,1 Pants On Fire,False(ish),TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
